STDEV,AVG,MDN,EMOSI
0.131128773,0.128169979,0.120853083,1
0.267659837,0.379489369,0.339770642,1
0.257587615,0.379566977,0.36345312,1
0.302712685,0.41642772,0.288579091,1
0.127090928,0.105334107,0.082460494,1
0.229601769,0.333149688,0.22863993,1
0.229097027,0.429347804,0.461315751,1
0.279376908,0.500578399,0.456423126,1
0.131128773,0.128169979,0.120853083,1
0.286253662,0.682384182,0.74181039,2
0.296857367,0.485383545,0.486954359,2
0.265119191,0.318550644,0.223355773,2
0.311459307,0.542250105,0.565904766,2
0.297162252,0.294730914,0.202576809,2
0.279288492,0.430630511,0.390133224,2
0.257112046,0.544973332,0.53608716,2
0.141051235,0.216975529,0.232027365,2
0.286253662,0.682384182,0.74181039,2
0.195931047,0.735270328,0.803308487,3
0.311213205,0.547371384,0.622102353,3
0.237277732,0.500050367,0.461269021,3
0.305935336,0.599454681,0.747614915,3
0.357495165,0.473311314,0.421361875,3
0.322161534,0.471547148,0.450661667,3
0.198854,0.657994175,0.667766229,3
0.179580827,0.307676639,0.299169364,3
0.195931047,0.735270328,0.803308487,3
0.272936815,0.494545539,0.514543391,4
0.266023729,0.439497243,0.363501471,4
0.312984745,0.548790867,0.570395311,4
0.314117745,0.433765599,0.385850576,4
0.250987744,0.525552945,0.535143942,4
0.259904325,0.520003474,0.512057778,4
0.231735466,0.643146006,0.665249922,4
0.237116899,0.473228604,0.412018067,4
0.272936815,0.494545539,0.514543391,4
